Wind speed,Wind is from,Ground roughtness,Cloud cover,Air themperature,Humidity,Puddle Diameter (meters),Puddle volume (cubic meters),Chemical,Mesurement Heigth,Chemical state,Building,Building surrounding,Initial Puddle Temperature,Type of Puddle,red distance (km),R complement,orange distance,O complement,yellow distance,Y complement,Red Vertical distane,Yellow Vertical distane,Orange Vertical distane,Red Horizontal distane,Yellow Horizontal distane,Orange Horizontal distane,Origin
4.0,ESE,Urban or forest,5.0,27.0,85.0,53.88,474.72,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.15,0.11,0.07
4.0,ESE,open country,7.0,31.0,86.0,39.8,625.22,Methanol,3,Liquid,Double storied,Sheltered,31.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.11,0.08,0.05
8.0,NNE,open country,2.0,24.0,80.0,83.65,558.0,Methanol,3,Liquid,Single office,Unsheltered,24.0,Burning Puddle,0.07,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.03,0.05,0.04,0.13,0.22,0.16,0.11
6.0,NNE,open country,9.0,30.0,83.0,38.38,437.33,Methanol,3,Liquid,Enclosed office,,30.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.11,0.08,0.05
9.0,NNE,open country,10.0,31.0,81.0,61.6,543.69,Methanol,3,Liquid,Single office,Sheltered,31.0,Burning Puddle,0.06,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.1,0.16,0.12,0.08
7.0,ESE,Urban or forest,3.0,26.0,78.0,35.17,54.09,Methanol,3,Liquid,Single office,Unsheltered,26.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.02,0.03,0.02,0.05,0.09,0.07,0.04
7.0,ESE,Urban or forest,6.0,25.0,79.0,18.35,80.22,Methanol,3,Liquid,Single office,Unsheltered,25.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.02,0.01,0.03,0.05,0.03,0.02
5.0,ESE,Urban or forest,8.0,25.0,87.0,81.86,696.95,Methanol,3,Liquid,Single office,Unsheltered,25.0,Burning Puddle,0.07,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.12,2.0 kW/(sq m),0.03,0.06,0.04,0.12,0.22,0.15,0.1
5.0,NE,Urban or forest,9.0,21.0,86.0,56.3,45.43,Methanol,3,Liquid,Double storied,Unsheltered,21.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.15,0.11,0.07
3.0,ENE,Urban or forest,4.0,29.0,78.0,61.94,983.15,Methanol,3,Liquid,Single office,Unsheltered,29.0,Burning Puddle,0.05,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.02,0.05,0.03,0.09,0.18,0.12,0.08
9.0,ESE,Urban or forest,5.0,31.0,81.0,99.09,674.07,Methanol,3,Liquid,Single office,Unsheltered,31.0,Burning Puddle,0.09,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.04,0.07,0.05,0.14,0.23,0.17,0.1
7.0,NNE,Urban or forest,2.0,34.0,85.0,9.66,281.54,Methanol,3,Liquid,Single office,Unsheltered,34.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.0,0.02,0.03,0.02,0.01
9.0,NE,open country,7.0,27.0,79.0,63.9,422.83,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.03,0.05,0.03,0.1,0.16,0.12,0.08
9.0,NE,open country,8.0,23.0,83.0,98.82,271.74,Methanol,3,Liquid,Single office,Unsheltered,23.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.04,0.07,0.05,0.15,0.24,0.18,0.11
7.0,NE,Urban or forest,7.0,22.0,78.0,13.7,355.48,Methanol,3,Liquid,Enclosed office,,22.0,Burning Puddle,0.01,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
5.0,NNE,Urban or forest,4.0,27.0,85.0,23.33,451.86,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,0.02,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.04,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.07,0.05,0.03
9.0,NNE,open country,8.0,30.0,84.0,71.25,332.61,Methanol,3,Liquid,Single office,Unsheltered,30.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.09,2.0 kW/(sq m),0.03,0.04,0.03,0.11,0.18,0.13,0.09
4.0,NE,open country,9.0,23.0,77.0,12.34,688.45,Methanol,3,Liquid,Single office,Sheltered,23.0,Burning Puddle,0.01,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
5.0,ESE,Urban or forest,6.0,28.0,79.0,91.14,571.4,Methanol,3,Liquid,Single office,Sheltered,28.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.04,0.07,0.05,0.14,0.24,0.17,0.11
6.0,ESE,open country,10.0,31.0,79.0,86.12,777.64,Methanol,3,Liquid,Enclosed office,,31.0,Burning Puddle,0.08,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.01,2.0 kW/(sq m),0.04,0.06,0.04,0.13,0.22,0.16,0.21
4.0,ENE,Urban or forest,3.0,31.0,82.0,54.04,163.63,Methanol,3,Liquid,Enclosed office,,31.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.15,0.11,0.07
7.0,NNE,open country,10.0,25.0,80.0,45.71,337.77,Methanol,3,Liquid,Double storied,Unsheltered,25.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.07,0.12,0.09,0.06
6.0,ESE,Urban or forest,3.0,30.0,86.0,14.65,861.19,Methanol,3,Liquid,Enclosed office,,30.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
5.0,NE,Urban or forest,5.0,33.0,80.0,45.37,541.62,Methanol,3,Liquid,Double storied,Unsheltered,33.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.03,0.02,0.07,0.13,0.09,0.06
